index,precision,recall,f1-score,support
0.0,0.97,0.98,0.98,653
1.0,0.96,0.95,0.96,340
accuracy,,,0.97,993
macro avg,0.97,0.96,0.97,993
weighted avg,0.97,0.97,0.97,993
