clase,precision,recall,f1-score,support
0.0,0.947,0.989,0.967,269
1.0,0.983,0.919,0.950,185
accuracy,,,0.960,454
macro avg,0.965,0.954,0.958,454
weighted avg,0.961,0.960,0.960,454
