clase,precision,recall,f1-score,support
0.0,0.964,0.981,0.972,269
1.0,0.972,0.946,0.959,185
accuracy,,,0.967,454
macro avg,0.968,0.964,0.966,454
weighted avg,0.967,0.967,0.967,454
