clase,precision,recall,f1-score,support
0.0,0.963,0.967,0.965,269
1.0,0.951,0.946,0.949,185
accuracy,,,0.958,454
macro avg,0.957,0.956,0.957,454
weighted avg,0.958,0.958,0.958,454
