clase,precision,recall,f1-score,support
0.0,0.943,0.989,0.966,269
1.0,0.983,0.914,0.947,185
accuracy,,,0.958,454
macro avg,0.963,0.951,0.956,454
weighted avg,0.959,0.958,0.958,454
