clase,precision,recall,f1-score,support
0.0,0.974,0.967,0.970,269
1.0,0.952,0.962,0.957,185
accuracy,,,0.965,454
macro avg,0.963,0.964,0.964,454
weighted avg,0.965,0.965,0.965,454
