clase,precision,recall,f1-score,support
0.0,0.963,0.963,0.963,269
1.0,0.946,0.946,0.946,185
accuracy,,,0.956,454
macro avg,0.954,0.954,0.954,454
weighted avg,0.956,0.956,0.956,454
