index,precision,recall,f1-score,support
0.0,0.99,0.99,0.99,301
1.0,0.98,0.98,0.98,150
accuracy,,,0.99,451
macro avg,0.99,0.99,0.99,451
weighted avg,0.99,0.99,0.99,451
