clase,precision,recall,f1-score,support
0.0,0.96,0.99,0.97,269
1.0,0.98,0.94,0.96,185
accuracy,,,0.96,454
macro avg,0.97,0.96,0.96,454
weighted avg,0.97,0.96,0.96,454
