clase,precision,recall,f1-score,support
0.0,0.981,0.970,0.976,269
1.0,0.957,0.973,0.965,185
accuracy,,,0.971,454
macro avg,0.969,0.972,0.970,454
weighted avg,0.972,0.971,0.971,454
