clase,precision,recall,f1-score,support
0.0,0.977,0.944,0.960,269
1.0,0.923,0.968,0.945,185
accuracy,,,0.954,454
macro avg,0.950,0.956,0.952,454
weighted avg,0.955,0.954,0.954,454
