clase,precision,recall,f1-score,support
0.0,0.940,0.989,0.964,269
1.0,0.982,0.908,0.944,185
accuracy,,,0.956,454
macro avg,0.961,0.948,0.954,454
weighted avg,0.957,0.956,0.956,454
