clase,precision,recall,f1-score,support
0.0,0.957,0.985,0.971,269
1.0,0.977,0.935,0.956,185
accuracy,,,0.965,454
macro avg,0.967,0.960,0.963,454
weighted avg,0.965,0.965,0.965,454
