index,precision,recall,f1-score,support
0.0,0.98,0.98,0.98,301
1.0,0.95,0.96,0.96,150
accuracy,,,0.97,451
macro avg,0.97,0.97,0.97,451
weighted avg,0.97,0.97,0.97,451
