index,precision,recall,f1-score,support
0.0,0.97,0.95,0.96,301
1.0,0.90,0.94,0.92,150
accuracy,,,0.94,451
macro avg,0.93,0.94,0.94,451
weighted avg,0.95,0.94,0.94,451
