index,precision,recall,f1-score,support
0.0,0.99,0.91,0.95,301
1.0,0.85,0.99,0.91,150
accuracy,,,0.94,451
macro avg,0.92,0.95,0.93,451
weighted avg,0.94,0.94,0.94,451
