index,precision,recall,f1-score,support
0.0,0.98,0.95,0.96,301
1.0,0.91,0.95,0.93,150
accuracy,,,0.95,451
macro avg,0.94,0.95,0.95,451
weighted avg,0.95,0.95,0.95,451
