index,precision,recall,f1-score,support
0.0,0.97,0.83,0.90,301
1.0,0.74,0.95,0.83,150
accuracy,,,0.87,451
macro avg,0.85,0.89,0.86,451
weighted avg,0.89,0.87,0.87,451
