index,precision,recall,f1-score,support
0.0,0.67,1.00,0.80,301
1.0,0.00,0.00,0.00,150
accuracy,,,0.67,451
macro avg,0.33,0.50,0.40,451
weighted avg,0.45,0.67,0.53,451
