index,precision,recall,f1-score,support
0.0,0.87,0.92,0.89,301
1.0,0.81,0.71,0.76,150
accuracy,,,0.85,451
macro avg,0.84,0.82,0.82,451
weighted avg,0.85,0.85,0.85,451
