index,precision,recall,f1-score,support
0.0,0.93,0.96,0.94,301
1.0,0.91,0.85,0.88,150
accuracy,,,0.92,451
macro avg,0.92,0.91,0.91,451
weighted avg,0.92,0.92,0.92,451
