index,precision,recall,f1-score,support
0.0,0.99,0.98,0.99,301
1.0,0.96,0.99,0.97,150
accuracy,,,0.98,451
macro avg,0.98,0.98,0.98,451
weighted avg,0.98,0.98,0.98,451
