index,precision,recall,f1-score,support
0.0,0.97,0.99,0.98,301
1.0,0.99,0.95,0.97,150
accuracy,,,0.98,451
macro avg,0.98,0.97,0.97,451
weighted avg,0.98,0.98,0.98,451
