index,precision,recall,f1-score,support
0.0,0.99,0.96,0.98,301
1.0,0.93,0.99,0.95,150
accuracy,,,0.97,451
macro avg,0.96,0.97,0.97,451
weighted avg,0.97,0.97,0.97,451
