clase,precision,recall,f1-score,support
0.0,0.981,0.948,0.964,269
1.0,0.928,0.973,0.950,185
accuracy,,,0.958,454
macro avg,0.954,0.960,0.957,454
weighted avg,0.959,0.958,0.958,454
