clase,precision,recall,f1-score,support
0.0,0.963,0.978,0.970,269
1.0,0.967,0.946,0.956,185
accuracy,,,0.965,454
macro avg,0.965,0.962,0.963,454
weighted avg,0.965,0.965,0.965,454
