clase,precision,recall,f1-score,support
0.0,0.977,0.955,0.966,269
1.0,0.937,0.968,0.952,185
accuracy,,,0.960,454
macro avg,0.957,0.961,0.959,454
weighted avg,0.961,0.960,0.960,454
