clase,precision,recall,f1-score,support
0.0,0.967,0.970,0.968,269
1.0,0.957,0.951,0.954,185
accuracy,,,0.963,454
macro avg,0.962,0.961,0.961,454
weighted avg,0.963,0.963,0.963,454
