clase,precision,recall,f1-score,support
0.0,0.923,0.978,0.949,269
1.0,0.964,0.881,0.921,185
accuracy,,,0.938,454
macro avg,0.944,0.929,0.935,454
weighted avg,0.940,0.938,0.938,454
