clase,precision,recall,f1-score,support
0.0,0.956,0.974,0.965,269
1.0,0.961,0.935,0.948,185
accuracy,,,0.958,454
macro avg,0.959,0.955,0.956,454
weighted avg,0.958,0.958,0.958,454
