index,precision,recall,f1-score,support
0.0,0.66,1.00,0.79,653
1.0,0.00,0.00,0.00,340
accuracy,,,0.66,993
macro avg,0.33,0.50,0.40,993
weighted avg,0.43,0.66,0.52,993
