index,precision,recall,f1-score,support
0.0,0.95,0.98,0.96,653
1.0,0.95,0.91,0.93,340
accuracy,,,0.95,993
macro avg,0.95,0.94,0.95,993
weighted avg,0.95,0.95,0.95,993
