index,precision,recall,f1-score,support
0.0,0.93,0.98,0.95,653
1.0,0.95,0.85,0.90,340
accuracy,,,0.94,993
macro avg,0.94,0.92,0.93,993
weighted avg,0.94,0.94,0.93,993
