index,precision,recall,f1-score,support
0.0,0.90,0.99,0.94,653
1.0,0.97,0.79,0.87,340
accuracy,,,0.92,993
macro avg,0.94,0.89,0.91,993
weighted avg,0.93,0.92,0.92,993
