index,precision,recall,f1-score,support
0.0,0.99,0.99,0.99,653
1.0,0.98,0.97,0.98,340
accuracy,,,0.98,993
macro avg,0.98,0.98,0.98,993
weighted avg,0.98,0.98,0.98,993
