clase,precision,recall,f1-score,support
0.0,0.92,1.00,0.96,269
1.0,0.99,0.87,0.93,185
accuracy,,,0.94,454
macro avg,0.96,0.93,0.94,454
weighted avg,0.95,0.94,0.94,454
